name,url,price,img,brand,code
Spring Break,http://www.koovs.com/spring-break-maroon-off-shoulder-dress-85333.html,895,http://images.koovscdn.com/uploads/products/85333_5b65701e2ffffff1f10b7c03274377a3_image1_zoom.jpg,Spring Break,85333
Spring Break,http://www.koovs.com/spring-break-sequinned-jacket_308-87541.html,1945,http://images.koovscdn.com/uploads/products/87541_1d6e35542d9ffc62930b5b617192c3af_image1_zoom.jpg,Spring Break,87541
Spring Break,http://www.koovs.com/spring-break--camo-bomber-85330.html,1490,http://images.koovscdn.com/uploads/products/85330_ce54b18af7739b77d7e6cc05e5f87c90_image1_zoom.jpg,Spring Break,85330
Spring Break,http://www.koovs.com/spring-break-velour-playsuit-with-choker-tie-back-87543.html,895,http://images.koovscdn.com/uploads/products/87543_1c9d20e84c8989401ff8d1181603b3ce_image1_zoom.jpg,Spring Break,87543
Spring Break,http://www.koovs.com/spring-break-stripe-playsut-87536.html,1190,http://images.koovscdn.com/uploads/products/87536_196c9548c171e4fd55c8da934cf9507b_image1_zoom.jpg,Spring Break,87536
Spring Break,http://www.koovs.com/spring-break-armour-t-shirt-83755.html,524,http://images.koovscdn.com/uploads/products/83755_0ffc71c3b689da539d15c1fb74252d78_image1_zoom.jpg,Spring Break,83755
Spring Break,http://www.koovs.com/spring-break-band-of-weirdos-denim-shirt-dress-87527.html,904,http://images.koovscdn.com/uploads/products/87527_38ef2c2c78a973230adfd50952727f04_image1_zoom.jpg,Spring Break,87527
Spring Break,http://www.koovs.com/spring-break-brooklyn-slogan-print-joggers-85566.html,990,http://images.koovscdn.com/uploads/products/85566_c7c86c2510aa7ed481c830f37001c83d_image1_zoom.jpg,Spring Break,85566
Spring Break,http://www.koovs.com/spring-break-striped-peach-white-off-shoulder-top-87537.html,990,http://images.koovscdn.com/uploads/products/87537_a39ff9efb25d82a8ce629a55d5b69c2e_image1_zoom.jpg,Spring Break,87537
Spring Break,http://www.koovs.com/spring-break-vintage-patch-jogger-with-knee-rip-and-distress-85563.html,1290,http://images.koovscdn.com/uploads/products/85563_3f1c70dc2e0f351016570809ed6abf32_image1_zoom.jpg,Spring Break,85563
Spring Break,http://www.koovs.com/spring-break-hand-print-t-shirt-92248.html,700,http://images.koovscdn.com/uploads/products/92248_67a95aaff6c9c62a43ea8694cc7c0cd0_image1_zoom.jpg,Spring Break,92248
Spring Break,http://www.koovs.com/spring-break-cocktail-glass-print-side-slit-dress-88812.html,990,http://images.koovscdn.com/uploads/products/88812_b7e0df22afccc8aa7aff8d1e688ac762_image1_zoom.jpg,Spring Break,88812
Spring Break,http://www.koovs.com/spring-break-back-knot-detail-top-in-cocktail-print-88806.html,495,http://images.koovscdn.com/uploads/products/88806_900e8e5386e622f783f114f6c04b57c2_image1_zoom.jpg,Spring Break,88806
Spring Break,http://www.koovs.com/spring-break-off-shoulder-midi-dress-in-sun-print-88808.html,990,http://images.koovscdn.com/uploads/products/88808_1fefa44b8ae56420af82f5a5600df3d4_image1_zoom.jpg,Spring Break,88808
Spring Break,http://www.koovs.com/spring-break-watermelon-print-strap-top-88807.html,495,http://images.koovscdn.com/uploads/products/88807_c2ad604528c02b4fe8ac27c49c9a9768_image1_zoom.jpg,Spring Break,88807
Spring Break,http://www.koovs.com/spring-break-one-shoulder-knot-detail-top-88804.html,800,http://images.koovscdn.com/uploads/products/88804_03531d97988d9b01e1fd0f4dbaaa6ee0_image1_zoom.jpg,Spring Break,88804
